SALE TYPE,PROPERTY TYPE,CITY,zipcode,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,LATITUDE,LONGITUDE,num_school,school_rating_mean,Bayes_RatingSchool,crime_percentage
PAST SALE,Single Family Residential,Federal Way,98023,449995.0,3.0,2.0,West Campus,1360.0,8400.0,1975.0,4.0,331.0,47.3023904,-122.3667807,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,950000.0,4.0,2.5,Federal Way,3670.0,10530.0,1990.0,4.0,259.0,47.3009355,-122.3406425,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,749000.0,4.0,2.5,Federal Way,3068.0,5223.0,2005.0,5.0,244.0,47.2782785,-122.3487122,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,875000.0,5.0,3.0,Federal Way,2720.0,7252.0,2019.0,5.0,322.0,47.2820334,-122.3384049,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,1650000.0,6.0,4.0,Buenna,5790.0,15750.0,1990.0,5.0,285.0,47.3371278,-122.351284,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,595000.0,3.0,2.5,Federal Way,1850.0,6480.0,1990.0,5.0,322.0,47.2904205,-122.3719385,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,700000.0,4.0,2.5,Federal Way,2290.0,11549.0,1990.0,6.0,306.0,47.3066987,-122.3912659,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,1450000.0,3.0,2.5,Buenna,1920.0,11747.0,1939.0,6.0,755.0,47.3406674,-122.3392245,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Mobile/Manufactured Home,Federal Way,98023,65000.0,2.0,1.0,Twin Lakes,740.0,216122.0,1984.0,6.0,88.0,47.3163654,-122.3634709,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,725000.0,4.0,3.0,Dash Point,2450.0,39000.0,1981.0,6.0,296.0,47.2728657,-122.3395575,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,700000.0,4.0,2.5,West Campus,3000.0,7926.0,1990.0,6.0,233.0,47.30947,-122.3432521,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,539950.0,3.0,1.0,Federal Way,1290.0,9540.0,1976.0,6.0,419.0,47.301379,-122.379881,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,630000.0,3.0,2.5,Twin Lakes,2050.0,8125.0,1984.0,7.0,307.0,47.3000396,-122.371668,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,699500.0,5.0,3.0,Alderdale,2188.0,8160.0,1979.0,7.0,320.0,47.2973601,-122.3693666,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,600000.0,3.0,2.5,Federal Way,1910.0,7350.0,1979.0,7.0,314.0,47.2982253,-122.3793059,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,649000.0,3.0,2.0,West Campus,1950.0,8568.0,1988.0,7.0,333.0,47.3062727,-122.3487782,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,610000.0,3.0,2.0,Alderbrook,1620.0,7208.0,1981.0,7.0,377.0,47.3142903,-122.3557542,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,849000.0,4.0,3.0,Federal Way,2930.0,8401.0,2005.0,7.0,290.0,47.291582,-122.3571735,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,619000.0,3.0,2.5,Dash Point,1530.0,10697.0,1986.0,7.0,405.0,47.3099687,-122.3919653,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,734950.0,5.0,2.0,Federal Way,2160.0,38428.0,1961.0,9.0,340.0,47.2742018,-122.3440813,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,699000.0,3.0,2.5,West Campus,2031.0,7702.0,1988.0,10.0,344.0,47.3058352,-122.3481887,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,769950.0,4.0,2.5,West Campus,2820.0,8384.0,1989.0,12.0,273.0,47.3047106,-122.3506757,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,969900.0,3.0,2.5,Dash Point,2630.0,17914.0,1978.0,13.0,369.0,47.3231534,-122.3974013,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,849000.0,4.0,3.0,Mirror Lake,2160.0,9750.0,1963.0,13.0,393.0,47.3222185,-122.3382293,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,549000.0,3.0,3.0,Twin Lakes,1917.0,10268.0,1978.0,13.0,286.0,47.3095757,-122.3890336,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,579000.0,4.0,2.5,Lakota,1700.0,9680.0,1963.0,15.0,341.0,47.326684,-122.3639978,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,640000.0,4.0,2.5,Federal Way,1840.0,5584.0,2003.0,15.0,348.0,47.2774685,-122.3456086,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,689950.0,3.0,2.5,West Campus,1890.0,7671.0,1985.0,15.0,365.0,47.3115767,-122.3483477,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,645000.0,4.0,2.5,Twin Lakes,2450.0,8925.0,1968.0,16.0,263.0,47.3124468,-122.3737531,14,1.7857142857142858,2.1635397123202003,22.01
PAST SALE,Single Family Residential,Federal Way,98023,699990.0,3.0,3.0,West Campus,2320.0,7496.0,1979.0,20.0,302.0,47.308338,-122.3387936,14,1.7857142857142858,2.1635397123202003,22.01
MLS Listing,Single Family Residential,Federal Way,98023,1100000.0,5.0,3.5,S Federal Way,4471.0,9627.0,2006.0,20.0,246.0,47.3279367,-122.36452,14,1.7857142857142858,2.1635397123202003,22.01
